பு2,1.0564333462,பு2,1.0564333462,0.0238421012
பூ,0.3288655383,பூ,0.3288655383,-0.4829816337
பூ2,0.2738798961,பூ2,0.2738798961,-0.5624398456
பெ,0.2117807828,பெ,0.2117807828,-0.6741134508
பெ1,0.2934628618,பெ1,0.2934628618,-0.5324468516
பே,0.1514141384,பே,0.1514141384,-0.8198335704
பே1,0.2276867031,பே1,0.2276867031,-0.6426623314
பை,0.0986762457,பை,0.0986762457,-1.0057873823
பை1,0.0725224314,பை1,0.0725224314,-1.1395276441
பொ,0.2588800329,பொ,0.2588800329,-0.5869014449
பொ1,0.2765971801,பொ1,0.2765971801,-0.5581522518
போ,0.2213996438,போ,0.2213996438,-0.6548230822
போ1,0.4789853606,போ1,0.4789853606,-0.3196777599
பௌ,0.0102822306,பௌ,0.0102822306,-1.9879126604
பௌ1,0.0084328409,பௌ1,0.0084328409,-2.0740260933
ம்,5.3349851239,ம்,5.3349851239,0.7271332128
ம்1,3.1758078662,ம்1,3.1758078662,0.5018542201
ம்2,4.4429865753,ம்2,4.4429865753,0.647675001
ம,1.793917563,ம,1.793917563,0.2538024818
ம1,1.094582743,ம1,1.094582743,0.0392485968
ம2,2.5312137451,ம2,2.5312137451,0.4033288201
மா,0.6517607491,மா,0.6517607491,-0.1859117975
மா1,0.6493287459,மா1,0.6493287459,-0.1875353704
மி,0.3527468482,மி,0.3527468482,-0.452536858
மி1,0.4604331107,மி1,0.4604331107,-0.3368334529
மி2,0.2937683001,மி2,0.2937683001,-0.5319950698
மீ,0.063683493,மீ,0.063683493,-1.1959731238
மீ1,0.1433582945,மீ1,0.1433582945,-0.8435771744
மீ2,0.0530357439,மீ2,0.0530357439,-1.2754313352
மு,0.7195903029,மு,0.7195903029,-0.1429146978
மு1,0.6847466775,மு1,0.6847466775,-0.1644700663
மு2,0.5992762831,மு2,0.5992762831,-0.2223729096
மூ,0.1820949879,மூ,0.1820949879,-0.7397020078
மூ2,0.1516490802,மூ2,0.1516490802,-0.8191602195
மெ,0.0676637114,மெ,0.0676637114,-1.1696441846
மெ1,0.1011940903,மெ1,0.1011940903,-0.9948448494
மே,0.1466047079,மே,0.1466047079,-0.833852083
மே1,0.2327464076,மே1,0.2327464076,-0.6331170136
மை,0.2366571473,மை,0.2366571473,-0.6258803748
மை1,0.3997166565,மை1,0.3997166565,-0.398247754
மொ,0.0696538205,மொ,0.0696538205,-1.1570550576
மொ1,0.1315523173,மொ1,0.1315523173,-0.8809014974
மோ,0.0653419173,மோ,0.0653419173,-1.1848081264
மோ1,0.0742089995,மோ1,0.0742089995,-1.1295434236
மௌ,0.0077945942,மௌ,0.0077945942,-2.10820649
மௌ1,0.0067462727,மௌ1,0.0067462727,-2.1709361076
ய்,0.5416413757,ய்,0.5416413757,-0.2662881675
ய்1,0.5852391554,ய்1,0.5852391554,-0.2326666251
